0:0:0:0:0:0:0:1 - - [11/Jun/2024:21:06:26 +0900] "GET /JspStudy/ProjectFile/bootEx/bootMain2.jsp?search_username=samsung HTTP/1.1" 200 2341
0:0:0:0:0:0:0:1 - - [11/Jun/2024:21:06:39 +0900] "GET /JspStudy/ProjectFile/bootEx/bootMain2.jsp?search_username=samsung HTTP/1.1" 200 2333
0:0:0:0:0:0:0:1 - - [11/Jun/2024:21:07:58 +0900] "GET /JspStudy/ProjectFile/bootEx/search.jsp?search_username=samsung HTTP/1.1" 200 2334
0:0:0:0:0:0:0:1 - - [11/Jun/2024:21:08:22 +0900] "GET /JspStudy/ProjectFile/bootEx/bootMain.jsp HTTP/1.1" 200 9644
0:0:0:0:0:0:0:1 - - [11/Jun/2024:21:08:23 +0900] "GET /JspStudy/ProjectFile/bootEx/images/samsung.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [11/Jun/2024:21:08:23 +0900] "GET /JspStudy/ProjectFile/bootEx/images/samsung.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [11/Jun/2024:21:08:25 +0900] "GET /JspStudy/ProjectFile/bootEx/bootMain2.jsp?search_username= HTTP/1.1" 200 9308
0:0:0:0:0:0:0:1 - - [11/Jun/2024:21:08:25 +0900] "GET /JspStudy/ProjectFile/bootEx/images/samsung.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [11/Jun/2024:21:08:33 +0900] "GET /JspStudy/ProjectFile/bootEx/bootMain2.jsp?search_username=samsung HTTP/1.1" 200 7547
0:0:0:0:0:0:0:1 - - [11/Jun/2024:21:09:16 +0900] "GET /JspStudy/ProjectFile/bootEx/bootMain2.jsp?search_username=samsung HTTP/1.1" 200 7545
0:0:0:0:0:0:0:1 - - [11/Jun/2024:21:10:10 +0900] "GET /JspStudy/ProjectFile/bootEx/bootMain.jsp HTTP/1.1" 200 9644
0:0:0:0:0:0:0:1 - - [11/Jun/2024:21:10:10 +0900] "GET /JspStudy/ProjectFile/bootEx/images/samsung.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [11/Jun/2024:21:10:10 +0900] "GET /JspStudy/ProjectFile/bootEx/images/samsung.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [11/Jun/2024:21:10:34 +0900] "GET /JspStudy/ProjectFile/bootEx/bootMain.jsp HTTP/1.1" 200 9605
0:0:0:0:0:0:0:1 - - [11/Jun/2024:21:10:34 +0900] "GET /JspStudy/ProjectFile/bootEx/images/samsung.png HTTP/1.1" 404 870
